Stock,52 Week High,Date of High,52 Week Low,Date of Low,Current Close,Difference (High - Close),Status
METROPOLIS.NS,2222.0,2024-09-25,1356.664,2023-10-30,2185.5,-36.5,Wait
SYNGENE.NS,945.25,2024-09-16,606.585,2024-06-04,881.5,-63.75,Wait
GUJGASLTD.NS,684.095,2024-09-02,393.681,2023-10-26,611.9,-72.195,Wait
GMRINFRA.NS,103.75,2024-07-31,52.0,2023-10-26,94.36,-9.39,Wait
BDL.NS,1793.373,2024-07-05,447.424,2023-10-25,1118.35,-675.023,Wait
TORNTPOWER.NS,1969.9,2024-09-18,683.364,2023-10-26,1871.05,-98.85,Wait
LAURUSLABS.NS,518.0,2024-09-10,348.686,2023-10-26,461.1,-56.9,Wait
TIINDIA.NS,4679.996,2024-07-10,2876.556,2023-10-26,4194.5,-485.496,Wait
UBL.NS,2204.9,2024-09-27,1532.177,2023-10-04,2189.75,-15.15,Wait
SBICARD.NS,817.4,2024-09-13,647.95,2024-06-04,783.0,-34.4,Wait
RCF.NS,243.357,2024-07-23,114.1,2023-10-26,180.71,-62.647,Wait
KIMS.NS,580.0,2024-09-13,350.0,2024-06-04,546.2,-33.8,Wait
IDFC.NS,128.599,2024-01-17,104.109,2024-06-04,113.0,-15.599,Wait
ECLERX.NS,3118.0,2024-09-25,1797.631,2023-10-03,2936.9,-181.1,Wait
HINDZINC.NS,778.873,2024-05-22,269.541,2024-03-15,525.2,-253.673,Wait
PETRONET.NS,384.2,2024-08-21,184.946,2023-11-01,338.0,-46.2,Wait
RVNL.NS,644.492,2024-07-15,141.599,2023-10-26,517.05,-127.442,Wait
MOTHERSON.NS,216.99,2024-09-27,86.416,2023-11-28,211.19,-5.8,Wait
MASTEK.NS,3131.062,2024-02-19,2088.285,2023-10-26,2599.45,-531.612,Wait
BERGEPAINT.NS,629.5,2024-09-17,436.208,2024-06-04,620.1,-9.4,Wait
APLAPOLLO.NS,1781.507,2023-10-18,1300.007,2024-02-14,1552.45,-229.057,Wait
ABB.NS,9137.54,2024-06-18,3831.085,2023-10-26,8050.15,-1087.39,Wait
CROMPTON.NS,484.0,2024-09-02,259.417,2024-03-22,419.75,-64.25,Wait
ACE.NS,1692.318,2024-04-02,656.26,2023-10-26,1393.1,-299.218,Wait
KFINTECH.NS,1189.0,2024-08-27,423.141,2023-10-26,1033.3,-155.7,Wait
REDINGTON.NS,230.866,2024-04-25,132.368,2023-10-26,184.01,-46.856,Wait
JYOTHYLAB.NS,595.85,2024-09-11,330.558,2023-10-26,534.4,-61.45,Wait
INDUSINDBK.NS,1675.895,2024-01-15,1329.2,2024-08-07,1442.65,-233.245,Wait
MUTHOOTFIN.NS,2078.75,2024-09-13,1165.399,2023-10-09,2045.85,-32.9,Wait
POWERINDIA.NS,14376.942,2024-07-03,3894.53,2023-10-09,13649.7,-727.242,Wait
RKFORGE.NS,1038.7,2024-09-18,581.705,2023-10-26,993.4,-45.3,Wait
VOLTAS.NS,1944.9,2024-09-20,803.767,2023-10-23,1865.8,-79.1,Wait
SAIL.NS,173.998,2024-05-22,80.536,2023-10-26,141.97,-32.028,Wait
PIIND.NS,4804.05,2024-09-20,3208.063,2024-01-25,4661.1,-142.95,Wait
TTML.NS,111.4,2024-07-19,65.05,2024-06-04,83.65,-27.75,Wait
MARUTI.NS,13551.997,2024-08-01,9646.535,2024-01-18,13442.5,-109.497,Wait
HAVELLS.NS,2106.0,2024-09-23,1226.026,2023-11-01,2034.7,-71.3,Wait
MPHASIS.NS,3187.8,2024-09-17,2025.339,2023-10-26,3048.85,-138.95,Wait
ZYDUSLIFE.NS,1324.3,2024-08-09,566.337,2023-10-26,1070.95,-253.35,Wait
INDIANB.NS,618.706,2024-06-03,382.254,2023-11-30,531.7,-87.006,Wait
BEL.NS,339.58,2024-07-10,125.728,2023-10-26,286.05,-53.53,Wait
GRINDWELL.NS,2942.214,2024-07-04,1863.932,2024-03-19,2410.9,-531.314,Wait
ADANIENT.NS,3742.391,2024-06-03,2141.136,2023-11-20,3136.05,-606.341,Wait
RAMCOCEM.NS,1054.872,2023-12-14,697.799,2024-06-04,866.0,-188.872,Wait
SUNTV.NS,915.344,2024-08-09,561.398,2024-03-20,829.65,-85.694,Wait
HDFCLIFE.NS,761.2,2024-09-03,509.667,2024-06-04,730.65,-30.55,Wait
BAYERCROP.NS,7196.85,2024-08-08,4698.25,2023-10-30,6356.25,-840.6,Wait
NUVAMA.NS,7100.0,2024-09-24,2070.575,2023-10-05,6788.05,-311.95,Wait
AFFLE.NS,1715.0,2024-08-26,988.15,2023-10-26,1585.9,-129.1,Wait
PERSISTENT.NS,5585.95,2024-09-27,2772.013,2023-10-09,5450.0,-135.95,Wait
INFY.NS,1975.75,2024-09-02,1332.712,2023-11-01,1894.1,-81.65,Wait
LATENTVIEW.NS,575.0,2024-07-16,392.85,2023-10-04,474.75,-100.25,Wait
GODREJIND.NS,1314.0,2024-09-06,568.1,2023-10-03,1226.05,-87.95,Wait
APLLTD.NS,1284.95,2024-08-08,699.265,2023-10-31,1190.45,-94.5,Wait
CDSL.NS,1664.4,2024-08-23,626.019,2023-10-26,1451.15,-213.25,Wait
FEDERALBNK.NS,205.371,2024-08-13,136.44,2023-10-30,193.86,-11.511,Wait
ACI.NS,836.496,2024-02-27,507.577,2023-11-03,692.45,-144.045,Wait
FIVESTAR.NS,862.75,2024-06-07,600.05,2024-03-14,786.0,-76.75,Wait
CELLO.NS,1023.355,2024-07-04,710.059,2024-03-14,871.3,-152.055,Wait
MSUMI.NS,79.084,2024-06-19,57.188,2023-11-06,71.98,-7.104,Wait
KEI.NS,5039.7,2024-06-14,2318.549,2023-10-31,4167.1,-872.6,Wait
TATASTEEL.NS,180.954,2024-06-18,112.337,2023-11-02,168.91,-12.044,Wait
GESHIP.NS,1533.379,2024-07-11,710.495,2023-11-09,1185.8,-347.579,Wait
JUBLFOOD.NS,715.45,2024-09-23,420.182,2024-03-14,682.25,-33.2,Wait
NMDC.NS,284.39,2024-05-21,136.268,2023-10-09,244.75,-39.64,Wait
KEC.NS,1058.0,2024-09-30,547.471,2023-11-08,1045.0,-13.0,Wait
TCS.NS,4592.25,2024-08-30,3271.929,2023-11-01,4289.05,-303.2,Wait
PEL.NS,1143.8,2024-09-16,728.814,2024-06-04,1114.6,-29.2,Wait
M&M.NS,3222.1,2024-09-27,1439.46,2023-11-01,3142.0,-80.1,Wait
ABBOTINDIA.NS,30521.0,2024-08-30,21686.758,2023-12-21,29287.949,-1233.051,Wait
BANKINDIA.NS,154.433,2024-04-30,84.476,2023-10-26,109.93,-44.503,Wait
BAJAJ-AUTO.NS,12774.0,2024-09-27,4863.522,2023-10-04,12537.25,-236.75,Wait
ASTERDM.NS,439.0,2024-09-19,242.993,2023-10-09,408.5,-30.5,Wait
IPCALAB.NS,1519.85,2024-09-25,913.868,2023-10-04,1483.45,-36.4,Wait
IDFCFIRSTB.NS,95.65,2023-10-03,70.43,2024-08-14,74.52,-21.13,Wait
AARTIIND.NS,768.137,2024-04-29,437.366,2023-10-26,585.2,-182.937,Wait
LTF.NS,194.25,2024-07-02,124.86,2023-10-26,186.64,-7.61,Wait
IGL.NS,564.916,2024-09-02,368.327,2023-11-01,547.4,-17.516,Wait
WELSPUNLIV.NS,212.95,2024-08-29,115.57,2023-10-09,163.71,-49.24,Wait
TEJASNET.NS,1495.0,2024-06-27,651.25,2024-03-28,1198.9,-296.1,Wait
HINDCOPPER.NS,414.605,2024-05-22,135.26,2023-10-26,347.2,-67.405,Wait
ONGC.NS,342.341,2024-08-13,170.825,2023-10-26,294.65,-47.691,Wait
STARHEALTH.NS,647.0,2024-09-09,454.8,2024-03-01,603.0,-44.0,Wait
MCX.NS,6035.45,2024-09-25,1910.633,2023-10-05,5703.0,-332.45,Wait
FINEORG.NS,5947.879,2024-07-30,4013.597,2024-03-28,5222.8,-725.079,Wait
BALAMINES.NS,2722.61,2024-01-01,1951.121,2024-06-04,2282.85,-439.76,Wait
IDBI.NS,107.9,2024-07-29,58.524,2023-11-22,87.36,-20.54,Wait
AETHER.NS,1071.0,2024-09-10,761.55,2024-03-27,919.2,-151.8,Wait
UCOBANK.NS,70.269,2024-02-08,34.563,2023-10-26,48.24,-22.029,Wait
ASTRAL.NS,2451.036,2024-07-02,1737.899,2024-01-18,1979.95,-471.086,Wait
BRITANNIA.NS,6354.2,2024-09-30,4291.837,2023-11-01,6295.15,-59.05,Wait
GPPL.NS,246.792,2024-08-13,111.454,2023-10-26,216.37,-30.422,Wait
ABCAPITAL.NS,246.9,2024-06-20,155.0,2023-12-21,236.94,-9.96,Wait
KARURVYSYA.NS,231.5,2024-08-26,126.669,2023-10-09,214.66,-16.84,Wait
YESBANK.NS,32.85,2024-02-09,15.7,2023-10-26,22.61,-10.24,Wait
ACC.NS,2844.0,2024-07-02,1797.87,2023-11-22,2514.35,-329.65,Wait
SCHAEFFLER.NS,4951.0,2024-06-18,2591.351,2023-11-02,3837.85,-1113.15,Wait
SBIN.NS,912.0,2024-06-03,534.241,2023-10-26,793.65,-118.35,Wait
LEMONTREE.NS,158.0,2024-05-02,100.75,2023-10-26,121.27,-36.73,Wait
SONATSOFTW.NS,864.639,2024-02-27,466.706,2024-06-04,632.0,-232.639,Wait
INDHOTEL.NS,720.45,2024-09-24,370.486,2023-10-27,691.0,-29.45,Wait
CENTURYPLY.NS,935.0,2024-09-23,593.259,2023-10-26,870.7,-64.3,Wait
IRFC.NS,228.112,2024-07-15,64.793,2023-10-26,155.08,-73.032,Wait
CANFINHOME.NS,951.75,2024-09-13,676.936,2024-06-04,877.0,-74.75,Wait
WIPRO.NS,579.9,2024-07-19,374.252,2023-10-26,542.6,-37.3,Wait
DRREDDY.NS,7107.45,2024-08-21,5174.905,2023-10-30,6736.05,-371.4,Wait
TECHM.NS,1672.0,2024-09-17,1066.676,2023-10-26,1588.6,-83.4,Wait
GICRE.NS,456.002,2024-02-08,206.799,2023-10-05,395.3,-60.702,Wait
ENGINERSIN.NS,302.514,2024-07-12,114.895,2023-10-26,209.76,-92.754,Wait
SHRIRAMFIN.NS,3652.25,2024-09-27,1726.754,2023-10-26,3609.7,-42.55,Wait
RAJESHEXPO.NS,509.85,2023-10-06,261.0,2024-03-28,284.3,-225.55,Wait
TRIDENT.NS,52.394,2024-01-09,32.09,2023-10-26,35.57,-16.824,Wait
STLTECH.NS,169.95,2023-10-20,109.5,2024-06-04,124.65,-45.3,Wait
MANYAVAR.NS,1477.09,2023-12-08,879.613,2024-04-15,1356.0,-121.09,Wait
HAPPSTMNDS.NS,957.508,2024-01-15,738.308,2024-03-28,797.75,-159.758,Wait
PGHH.NS,19180.345,2023-11-20,15345.4,2024-03-13,16543.4,-2636.944,Wait
CASTROLIND.NS,284.4,2024-08-27,127.484,2023-11-07,242.4,-42.0,Wait
CAMS.NS,4897.643,2024-07-31,2197.739,2023-11-01,4421.3,-476.343,Wait
MMTC.NS,131.8,2024-07-26,49.7,2023-10-30,89.7,-42.1,Wait
SPARC.NS,472.8,2024-04-09,196.1,2024-06-05,211.01,-261.79,Wait
AXISBANK.NS,1339.65,2024-07-12,950.666,2023-10-25,1246.6,-93.05,Wait
LALPATHLAB.NS,3459.4,2024-08-30,1936.018,2024-03-19,3292.7,-166.7,Wait
JKLAKSHMI.NS,992.342,2024-02-09,635.758,2023-10-03,770.35,-221.992,Wait
HSCL.NS,688.7,2024-09-18,223.668,2023-10-26,648.5,-40.2,Wait
CHEMPLASTS.NS,633.9,2024-06-14,402.8,2024-06-10,513.75,-120.15,Wait
CHENNPETRO.NS,1217.521,2024-07-16,453.777,2023-10-06,934.7,-282.821,Wait
PAGEIND.NS,44100.0,2024-09-18,32722.095,2024-03-20,42120.5,-1979.5,Wait
GRSE.NS,2831.469,2024-07-05,641.47,2023-10-26,1681.0,-1150.469,Wait
GILLETTE.NS,9560.0,2024-09-19,5921.493,2023-12-21,8467.7,-1092.3,Wait
APARINDS.NS,10624.8,2024-09-16,4517.882,2023-10-26,9428.95,-1195.85,Wait
ITC.NS,528.5,2024-09-27,392.39,2024-03-12,522.25,-6.25,Wait
RRKABEL.NS,1898.665,2024-05-27,1303.37,2023-10-23,1719.45,-179.215,Wait
BLUESTARCO.NS,2199.55,2024-09-30,810.64,2023-10-31,2134.0,-65.55,Wait
LICHSGFIN.NS,815.845,2024-07-16,426.302,2023-10-26,661.4,-154.445,Wait
MAHABANK.NS,73.5,2024-06-03,37.799,2023-10-26,59.46,-14.04,Wait
